DATA,DERIVATIVO,PARTICIPANTE,LONGCONTRACTS,LONG_,SHORTCONTRACTS,SHORT_,SALDO
11/01/2010,US DOLLAR FUTURES,Corporations,40625.0,6.44,18785.0,2.98,21840.0
11/01/2010,US DOLLAR FUTURES,Individuals,510.0,0.08,555.0,0.09,-45.0
11/01/2010,US DOLLAR FUTURES,Total,630790.0,100.0,630790.0,100.0,0.0
12/01/2010,US DOLLAR FUTURES,Financial Institutions,221784.0,34.94,332052.0,52.31,-110268.0
12/01/2010,US DOLLAR FUTURES,Banks,180914.0,28.5,331815.0,52.27,-150901.0
12/01/2010,US DOLLAR FUTURES,Brokers & Dealers,160.0,0.03,157.0,0.02,3.0
12/01/2010,US DOLLAR FUTURES,Other,40710.0,6.41,80.0,0.01,40630.0
12/01/2010,US DOLLAR FUTURES,Institutional Investors,131996.0,20.79,125275.0,19.74,6721.0
12/01/2010,US DOLLAR FUTURES,Domestic,131996.0,20.79,125275.0,19.74,6721.0
12/01/2010,US DOLLAR FUTURES,Nonresident Investors,240656.0,37.91,156969.0,24.73,83687.0
12/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,240656.0,37.91,156969.0,24.73,83687.0
12/01/2010,US DOLLAR FUTURES,Corporations,40005.0,6.3,19335.0,3.05,20670.0
12/01/2010,US DOLLAR FUTURES,Individuals,340.0,0.05,1150.0,0.18,-810.0
12/01/2010,US DOLLAR FUTURES,Total,634781.0,100.0,634781.0,100.0,0.0
13/01/2010,US DOLLAR FUTURES,Financial Institutions,235614.0,34.98,332572.0,49.37,-96958.0
13/01/2010,US DOLLAR FUTURES,Banks,188714.0,28.02,332365.0,49.34,-143651.0
13/01/2010,US DOLLAR FUTURES,Brokers & Dealers,170.0,0.03,117.0,0.02,53.0
13/01/2010,US DOLLAR FUTURES,Other,46730.0,6.94,90.0,0.01,46640.0
13/01/2010,US DOLLAR FUTURES,Institutional Investors,135587.0,20.13,146813.0,21.8,-11226.0
13/01/2010,US DOLLAR FUTURES,Domestic,135587.0,20.13,146813.0,21.8,-11226.0
13/01/2010,US DOLLAR FUTURES,Nonresident Investors,258165.0,38.33,172561.0,25.62,85604.0
13/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,258165.0,38.33,172561.0,25.62,85604.0
13/01/2010,US DOLLAR FUTURES,Corporations,43865.0,6.51,20895.0,3.1,22970.0
13/01/2010,US DOLLAR FUTURES,Individuals,335.0,0.05,725.0,0.11,-390.0
13/01/2010,US DOLLAR FUTURES,Total,673566.0,100.0,673566.0,100.0,0.0
14/01/2010,US DOLLAR FUTURES,Financial Institutions,217949.0,31.85,336552.0,49.18,-118603.0
14/01/2010,US DOLLAR FUTURES,Banks,167789.0,24.52,336280.0,49.14,-168491.0
14/01/2010,US DOLLAR FUTURES,Brokers & Dealers,250.0,0.04,177.0,0.03,73.0
14/01/2010,US DOLLAR FUTURES,Other,49910.0,7.29,95.0,0.01,49815.0
14/01/2010,US DOLLAR FUTURES,Institutional Investors,141127.0,20.62,147670.0,21.58,-6543.0
