IDENTIFICADOR;DATA;DERIVATIVO;PARTICIPANTE;LONGCONTRACTS;LONG_;SHORTCONTRACTS;SHORT_;SALDO
08012010_US DOLLAR FUTURES_Brokers & Dealers;08/01/2010;US DOLLAR FUTURES;Brokers & Dealers;160;0.02;145;0.02;15
08012010_US DOLLAR FUTURES_Other;08/01/2010;US DOLLAR FUTURES;Other;36710;5.71;90;0.01;36620
08012010_US DOLLAR FUTURES_Institutional Investors;08/01/2010;US DOLLAR FUTURES;Institutional Investors;135339;21.06;118467;18.44;16872
08012010_US DOLLAR FUTURES_Domestic;08/01/2010;US DOLLAR FUTURES;Domestic;135339;21.06;118467;18.44;16872
08012010_US DOLLAR FUTURES_Nonresident Investors;08/01/2010;US DOLLAR FUTURES;Nonresident Investors;244996;38.13;170082;26.47;74914
08012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;08/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;244996;38.13;170082;26.47;74914
08012010_US DOLLAR FUTURES_Corporations;08/01/2010;US DOLLAR FUTURES;Corporations;35785;5.57;17590;2.74;18195
08012010_US DOLLAR FUTURES_Individuals;08/01/2010;US DOLLAR FUTURES;Individuals;860;0.13;500;0.08;360
08012010_US DOLLAR FUTURES_Total;08/01/2010;US DOLLAR FUTURES;Total;642504;100.0;642504;100.0;0
11012010_US DOLLAR FUTURES_Financial Institutions;11/01/2010;US DOLLAR FUTURES;Financial Institutions;218939;34.71;329650;52.26;-110711
11012010_US DOLLAR FUTURES_Banks;11/01/2010;US DOLLAR FUTURES;Banks;182069;28.86;329405;52.22;-147336
11012010_US DOLLAR FUTURES_Brokers & Dealers;11/01/2010;US DOLLAR FUTURES;Brokers & Dealers;160;0.03;165;0.03;-5
11012010_US DOLLAR FUTURES_Other;11/01/2010;US DOLLAR FUTURES;Other;36710;5.82;80;0.01;36630
11012010_US DOLLAR FUTURES_Institutional Investors;11/01/2010;US DOLLAR FUTURES;Institutional Investors;132439;21.0;120156;19.05;12283
11012010_US DOLLAR FUTURES_Domestic;11/01/2010;US DOLLAR FUTURES;Domestic;132439;21.0;120156;19.05;12283
11012010_US DOLLAR FUTURES_Nonresident Investors;11/01/2010;US DOLLAR FUTURES;Nonresident Investors;238277;37.77;161644;25.63;76633
11012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;11/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;238277;37.77;161644;25.63;76633
11012010_US DOLLAR FUTURES_Corporations;11/01/2010;US DOLLAR FUTURES;Corporations;40625;6.44;18785;2.98;21840
11012010_US DOLLAR FUTURES_Individuals;11/01/2010;US DOLLAR FUTURES;Individuals;510;0.08;555;0.09;-45
11012010_US DOLLAR FUTURES_Total;11/01/2010;US DOLLAR FUTURES;Total;630790;100.0;630790;100.0;0
12012010_US DOLLAR FUTURES_Financial Institutions;12/01/2010;US DOLLAR FUTURES;Financial Institutions;221784;34.94;332052;52.31;-110268
12012010_US DOLLAR FUTURES_Banks;12/01/2010;US DOLLAR FUTURES;Banks;180914;28.5;331815;52.27;-150901
12012010_US DOLLAR FUTURES_Brokers & Dealers;12/01/2010;US DOLLAR FUTURES;Brokers & Dealers;160;0.03;157;0.02;3
12012010_US DOLLAR FUTURES_Other;12/01/2010;US DOLLAR FUTURES;Other;40710;6.41;80;0.01;40630
12012010_US DOLLAR FUTURES_Institutional Investors;12/01/2010;US DOLLAR FUTURES;Institutional Investors;131996;20.79;125275;19.74;6721
12012010_US DOLLAR FUTURES_Domestic;12/01/2010;US DOLLAR FUTURES;Domestic;131996;20.79;125275;19.74;6721
12012010_US DOLLAR FUTURES_Nonresident Investors;12/01/2010;US DOLLAR FUTURES;Nonresident Investors;240656;37.91;156969;24.73;83687
12012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;12/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;240656;37.91;156969;24.73;83687
12012010_US DOLLAR FUTURES_Corporations;12/01/2010;US DOLLAR FUTURES;Corporations;40005;6.3;19335;3.05;20670
12012010_US DOLLAR FUTURES_Individuals;12/01/2010;US DOLLAR FUTURES;Individuals;340;0.05;1150;0.18;-810
12012010_US DOLLAR FUTURES_Total;12/01/2010;US DOLLAR FUTURES;Total;634781;100.0;634781;100.0;0
13012010_US DOLLAR FUTURES_Financial Institutions;13/01/2010;US DOLLAR FUTURES;Financial Institutions;235614;34.98;332572;49.37;-96958
13012010_US DOLLAR FUTURES_Banks;13/01/2010;US DOLLAR FUTURES;Banks;188714;28.02;332365;49.34;-143651
13012010_US DOLLAR FUTURES_Brokers & Dealers;13/01/2010;US DOLLAR FUTURES;Brokers & Dealers;170;0.03;117;0.02;53
13012010_US DOLLAR FUTURES_Other;13/01/2010;US DOLLAR FUTURES;Other;46730;6.94;90;0.01;46640
13012010_US DOLLAR FUTURES_Institutional Investors;13/01/2010;US DOLLAR FUTURES;Institutional Investors;135587;20.13;146813;21.8;-11226
13012010_US DOLLAR FUTURES_Domestic;13/01/2010;US DOLLAR FUTURES;Domestic;135587;20.13;146813;21.8;-11226
13012010_US DOLLAR FUTURES_Nonresident Investors;13/01/2010;US DOLLAR FUTURES;Nonresident Investors;258165;38.33;172561;25.62;85604
13012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;13/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;258165;38.33;172561;25.62;85604
13012010_US DOLLAR FUTURES_Corporations;13/01/2010;US DOLLAR FUTURES;Corporations;43865;6.51;20895;3.1;22970
13012010_US DOLLAR FUTURES_Individuals;13/01/2010;US DOLLAR FUTURES;Individuals;335;0.05;725;0.11;-390
13012010_US DOLLAR FUTURES_Total;13/01/2010;US DOLLAR FUTURES;Total;673566;100.0;673566;100.0;0
14012010_US DOLLAR FUTURES_Financial Institutions;14/01/2010;US DOLLAR FUTURES;Financial Institutions;217949;31.85;336552;49.18;-118603
14012010_US DOLLAR FUTURES_Banks;14/01/2010;US DOLLAR FUTURES;Banks;167789;24.52;336280;49.14;-168491
14012010_US DOLLAR FUTURES_Brokers & Dealers;14/01/2010;US DOLLAR FUTURES;Brokers & Dealers;250;0.04;177;0.03;73
14012010_US DOLLAR FUTURES_Other;14/01/2010;US DOLLAR FUTURES;Other;49910;7.29;95;0.01;49815
14012010_US DOLLAR FUTURES_Institutional Investors;14/01/2010;US DOLLAR FUTURES;Institutional Investors;141127;20.62;147670;21.58;-6543
14012010_US DOLLAR FUTURES_Domestic;14/01/2010;US DOLLAR FUTURES;Domestic;141127;20.62;147670;21.58;-6543
14012010_US DOLLAR FUTURES_Nonresident Investors;14/01/2010;US DOLLAR FUTURES;Nonresident Investors;275108;40.2;177727;25.97;97381
14012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;14/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;275108;40.2;177727;25.97;97381
14012010_US DOLLAR FUTURES_Corporations;14/01/2010;US DOLLAR FUTURES;Corporations;49695;7.26;21620;3.16;28075
14012010_US DOLLAR FUTURES_Individuals;14/01/2010;US DOLLAR FUTURES;Individuals;390;0.06;700;0.1;-310
14012010_US DOLLAR FUTURES_Total;14/01/2010;US DOLLAR FUTURES;Total;684269;100.0;684269;100.0;0
15012010_US DOLLAR FUTURES_Financial Institutions;15/01/2010;US DOLLAR FUTURES;Financial Institutions;216174;30.95;346672;49.63;-130498
15012010_US DOLLAR FUTURES_Banks;15/01/2010;US DOLLAR FUTURES;Banks;162044;23.2;346355;49.59;-184311
15012010_US DOLLAR FUTURES_Brokers & Dealers;15/01/2010;US DOLLAR FUTURES;Brokers & Dealers;220;0.03;222;0.03;-2
15012010_US DOLLAR FUTURES_Other;15/01/2010;US DOLLAR FUTURES;Other;53910;7.72;95;0.01;53815
15012010_US DOLLAR FUTURES_Institutional Investors;15/01/2010;US DOLLAR FUTURES;Institutional Investors;147071;21.06;144713;20.72;2358
15012010_US DOLLAR FUTURES_Domestic;15/01/2010;US DOLLAR FUTURES;Domestic;147071;21.06;144713;20.72;2358
15012010_US DOLLAR FUTURES_Nonresident Investors;15/01/2010;US DOLLAR FUTURES;Nonresident Investors;280297;40.13;184227;26.38;96070
15012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;15/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;280297;40.13;184227;26.38;96070
15012010_US DOLLAR FUTURES_Corporations;15/01/2010;US DOLLAR FUTURES;Corporations;54530;7.81;22025;3.15;32505
15012010_US DOLLAR FUTURES_Individuals;15/01/2010;US DOLLAR FUTURES;Individuals;405;0.06;840;0.12;-435
15012010_US DOLLAR FUTURES_Total;15/01/2010;US DOLLAR FUTURES;Total;698477;100.0;698477;100.0;0
18012010_US DOLLAR FUTURES_Financial Institutions;18/01/2010;US DOLLAR FUTURES;Financial Institutions;224199;31.8;343747;48.75;-119548
18012010_US DOLLAR FUTURES_Banks;18/01/2010;US DOLLAR FUTURES;Banks;168849;23.95;343410;48.71;-174561
18012010_US DOLLAR FUTURES_Brokers & Dealers;18/01/2010;US DOLLAR FUTURES;Brokers & Dealers;240;0.03;247;0.04;-7
18012010_US DOLLAR FUTURES_Other;18/01/2010;US DOLLAR FUTURES;Other;55110;7.82;90;0.01;55020
18012010_US DOLLAR FUTURES_Institutional Investors;18/01/2010;US DOLLAR FUTURES;Institutional Investors;150071;21.28;143278;20.32;6793
18012010_US DOLLAR FUTURES_Domestic;18/01/2010;US DOLLAR FUTURES;Domestic;150071;21.28;143278;20.32;6793
18012010_US DOLLAR FUTURES_Nonresident Investors;18/01/2010;US DOLLAR FUTURES;Nonresident Investors;270426;38.35;195261;27.69;75165
18012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;18/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;270426;38.35;195261;27.69;75165
18012010_US DOLLAR FUTURES_Corporations;18/01/2010;US DOLLAR FUTURES;Corporations;59960;8.5;21995;3.12;37965
18012010_US DOLLAR FUTURES_Individuals;18/01/2010;US DOLLAR FUTURES;Individuals;420;0.06;795;0.11;-375
18012010_US DOLLAR FUTURES_Total;18/01/2010;US DOLLAR FUTURES;Total;705076;100.0;705076;100.0;0
19012010_US DOLLAR FUTURES_Financial Institutions;19/01/2010;US DOLLAR FUTURES;Financial Institutions;248267;32.93;345077;45.77;-96810
19012010_US DOLLAR FUTURES_Banks;19/01/2010;US DOLLAR FUTURES;Banks;191932;25.46;344725;45.72;-152793
19012010_US DOLLAR FUTURES_Brokers & Dealers;19/01/2010;US DOLLAR FUTURES;Brokers & Dealers;225;0.03;262;0.03;-37
19012010_US DOLLAR FUTURES_Other;19/01/2010;US DOLLAR FUTURES;Other;56110;7.44;90;0.01;56020
19012010_US DOLLAR FUTURES_Institutional Investors;19/01/2010;US DOLLAR FUTURES;Institutional Investors;158394;21.01;169599;22.5;-11205
19012010_US DOLLAR FUTURES_Domestic;19/01/2010;US DOLLAR FUTURES;Domestic;158394;21.01;169599;22.5;-11205
19012010_US DOLLAR FUTURES_Nonresident Investors;19/01/2010;US DOLLAR FUTURES;Nonresident Investors;281894;37.39;213514;28.32;68380
19012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;19/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;281894;37.39;213514;28.32;68380
19012010_US DOLLAR FUTURES_Corporations;19/01/2010;US DOLLAR FUTURES;Corporations;64880;8.61;24780;3.29;40100
19012010_US DOLLAR FUTURES_Individuals;19/01/2010;US DOLLAR FUTURES;Individuals;485;0.06;950;0.13;-465
19012010_US DOLLAR FUTURES_Total;19/01/2010;US DOLLAR FUTURES;Total;753920;100.0;753920;100.0;0
20012010_US DOLLAR FUTURES_Financial Institutions;20/01/2010;US DOLLAR FUTURES;Financial Institutions;239342;32.0;328767;43.96;-89425
20012010_US DOLLAR FUTURES_Banks;20/01/2010;US DOLLAR FUTURES;Banks;183027;24.47;328450;43.91;-145423
20012010_US DOLLAR FUTURES_Brokers & Dealers;20/01/2010;US DOLLAR FUTURES;Brokers & Dealers;205;0.03;227;0.03;-22
20012010_US DOLLAR FUTURES_Other;20/01/2010;US DOLLAR FUTURES;Other;56110;7.5;90;0.01;56020
20012010_US DOLLAR FUTURES_Institutional Investors;20/01/2010;US DOLLAR FUTURES;Institutional Investors;150237;20.09;174140;23.28;-23903
20012010_US DOLLAR FUTURES_Domestic;20/01/2010;US DOLLAR FUTURES;Domestic;150237;20.09;174140;23.28;-23903
20012010_US DOLLAR FUTURES_Nonresident Investors;20/01/2010;US DOLLAR FUTURES;Nonresident Investors;284555;38.05;218717;29.24;65838
20012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;20/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;284555;38.05;218717;29.24;65838
20012010_US DOLLAR FUTURES_Corporations;20/01/2010;US DOLLAR FUTURES;Corporations;73270;9.8;25250;3.38;48020
20012010_US DOLLAR FUTURES_Individuals;20/01/2010;US DOLLAR FUTURES;Individuals;520;0.07;1050;0.14;-530
20012010_US DOLLAR FUTURES_Total;20/01/2010;US DOLLAR FUTURES;Total;747924;100.0;747924;100.0;0
21012010_US DOLLAR FUTURES_Financial Institutions;21/01/2010;US DOLLAR FUTURES;Financial Institutions;257652;33.48;335622;43.61;-77970
21012010_US DOLLAR FUTURES_Banks;21/01/2010;US DOLLAR FUTURES;Banks;200817;26.09;335305;43.56;-134488
21012010_US DOLLAR FUTURES_Brokers & Dealers;21/01/2010;US DOLLAR FUTURES;Brokers & Dealers;225;0.03;227;0.03;-2
21012010_US DOLLAR FUTURES_Other;21/01/2010;US DOLLAR FUTURES;Other;56610;7.36;90;0.01;56520
21012010_US DOLLAR FUTURES_Institutional Investors;21/01/2010;US DOLLAR FUTURES;Institutional Investors;144163;18.73;183462;23.84;-39299
21012010_US DOLLAR FUTURES_Domestic;21/01/2010;US DOLLAR FUTURES;Domestic;144163;18.73;183462;23.84;-39299
21012010_US DOLLAR FUTURES_Nonresident Investors;21/01/2010;US DOLLAR FUTURES;Nonresident Investors;289299;37.59;223510;29.04;65789
21012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;21/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;289299;37.59;223510;29.04;65789
21012010_US DOLLAR FUTURES_Corporations;21/01/2010;US DOLLAR FUTURES;Corporations;78205;10.16;26235;3.41;51970
21012010_US DOLLAR FUTURES_Individuals;21/01/2010;US DOLLAR FUTURES;Individuals;355;0.05;845;0.11;-490
21012010_US DOLLAR FUTURES_Total;21/01/2010;US DOLLAR FUTURES;Total;769674;100.0;769674;100.0;0
22012010_US DOLLAR FUTURES_Financial Institutions;22/01/2010;US DOLLAR FUTURES;Financial Institutions;248402;32.36;332402;43.31;-84000
22012010_US DOLLAR FUTURES_Banks;22/01/2010;US DOLLAR FUTURES;Banks;191562;24.96;332045;43.26;-140483
22012010_US DOLLAR FUTURES_Brokers & Dealers;22/01/2010;US DOLLAR FUTURES;Brokers & Dealers;230;0.03;267;0.03;-37
22012010_US DOLLAR FUTURES_Other;22/01/2010;US DOLLAR FUTURES;Other;56610;7.38;90;0.01;56520
22012010_US DOLLAR FUTURES_Institutional Investors;22/01/2010;US DOLLAR FUTURES;Institutional Investors;141168;18.39;189770;24.72;-48602
22012010_US DOLLAR FUTURES_Domestic;22/01/2010;US DOLLAR FUTURES;Domestic;141168;18.39;189770;24.72;-48602
22012010_US DOLLAR FUTURES_Nonresident Investors;22/01/2010;US DOLLAR FUTURES;Nonresident Investors;294266;38.34;219884;28.65;74382
22012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;22/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;294266;38.34;219884;28.65;74382
22012010_US DOLLAR FUTURES_Corporations;22/01/2010;US DOLLAR FUTURES;Corporations;83305;10.85;24720;3.22;58585
22012010_US DOLLAR FUTURES_Individuals;22/01/2010;US DOLLAR FUTURES;Individuals;390;0.05;755;0.1;-365
22012010_US DOLLAR FUTURES_Total;22/01/2010;US DOLLAR FUTURES;Total;767531;100.0;767531;100.0;0
26012010_US DOLLAR FUTURES_Financial Institutions;26/01/2010;US DOLLAR FUTURES;Financial Institutions;263245;33.58;348205;44.41;-84960
26012010_US DOLLAR FUTURES_Banks;26/01/2010;US DOLLAR FUTURES;Banks;206410;26.33;347883;44.37;-141473
26012010_US DOLLAR FUTURES_Brokers & Dealers;26/01/2010;US DOLLAR FUTURES;Brokers & Dealers;225;0.03;232;0.03;-7
26012010_US DOLLAR FUTURES_Other;26/01/2010;US DOLLAR FUTURES;Other;56610;7.22;90;0.01;56520
26012010_US DOLLAR FUTURES_Institutional Investors;26/01/2010;US DOLLAR FUTURES;Institutional Investors;148524;18.94;194833;24.85;-46309
26012010_US DOLLAR FUTURES_Domestic;26/01/2010;US DOLLAR FUTURES;Domestic;148524;18.94;194833;24.85;-46309
26012010_US DOLLAR FUTURES_Nonresident Investors;26/01/2010;US DOLLAR FUTURES;Nonresident Investors;283708;36.19;215244;27.45;68464
26012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;26/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;283708;36.19;215244;27.45;68464
26012010_US DOLLAR FUTURES_Corporations;26/01/2010;US DOLLAR FUTURES;Corporations;88200;11.25;24865;3.17;63335
26012010_US DOLLAR FUTURES_Individuals;26/01/2010;US DOLLAR FUTURES;Individuals;320;0.04;850;0.11;-530
26012010_US DOLLAR FUTURES_Total;26/01/2010;US DOLLAR FUTURES;Total;783997;100.0;783997;100.0;0
27012010_US DOLLAR FUTURES_Financial Institutions;27/01/2010;US DOLLAR FUTURES;Financial Institutions;281335;34.2;367205;44.64;-85870
27012010_US DOLLAR FUTURES_Banks;27/01/2010;US DOLLAR FUTURES;Banks;224425;27.28;366768;44.59;-142343
27012010_US DOLLAR FUTURES_Brokers & Dealers;27/01/2010;US DOLLAR FUTURES;Brokers & Dealers;300;0.04;347;0.04;-47
