DATA;PARTICIPANTE;SALDO;ACUMULADO
22/01/2010;Institutional Investors;-48602;-33218
22/01/2010;Domestic;-48602;-33218
22/01/2010;Nonresident Investors;74382;1237699
22/01/2010;Nonresident investors - RES.2689;74382;1237699
22/01/2010;Corporations;58585;456060
22/01/2010;Individuals;-365;-3015
22/01/2010;Total;0;0
26/01/2010;Financial Institutions;-84960;-1742486
26/01/2010;Banks;-141473;-2489971
26/01/2010;Brokers & Dealers;-7;235
26/01/2010;Other;56520;747250
26/01/2010;Institutional Investors;-46309;-79527
26/01/2010;Domestic;-46309;-79527
26/01/2010;Nonresident Investors;68464;1306163
26/01/2010;Nonresident investors - RES.2689;68464;1306163
26/01/2010;Corporations;63335;519395
26/01/2010;Individuals;-530;-3545
26/01/2010;Total;0;0
27/01/2010;Financial Institutions;-85870;-1828356
27/01/2010;Banks;-142343;-2632314
27/01/2010;Brokers & Dealers;-47;188
27/01/2010;Other;56520;803770
27/01/2010;Institutional Investors;-68815;-148342
27/01/2010;Domestic;-68815;-148342
27/01/2010;Nonresident Investors;92455;1398618
27/01/2010;Nonresident investors - RES.2689;92455;1398618
27/01/2010;Corporations;62855;582250
27/01/2010;Individuals;-625;-4170
27/01/2010;Total;0;0
28/01/2010;Financial Institutions;-111600;-1939956
28/01/2010;Banks;-169178;-2801492
28/01/2010;Brokers & Dealers;-27;161
28/01/2010;Other;57605;861375
28/01/2010;Institutional Investors;-64427;-212769
28/01/2010;Domestic;-64427;-212769
28/01/2010;Nonresident Investors;109541;1508159
28/01/2010;Nonresident investors - RES.2689;109541;1508159
28/01/2010;Corporations;67576;649826
28/01/2010;Individuals;-1090;-5260
28/01/2010;Total;0;0
29/01/2010;Financial Institutions;-118830;-2058786
29/01/2010;Banks;-177633;-2979125
29/01/2010;Brokers & Dealers;-42;119
29/01/2010;Other;58845;920220
29/01/2010;Institutional Investors;-57866;-270635
29/01/2010;Domestic;-57866;-270635
29/01/2010;Nonresident Investors;108085;1616244
29/01/2010;Nonresident investors - RES.2689;108085;1616244
29/01/2010;Corporations;70491;720317
29/01/2010;Individuals;-1880;-7140
29/01/2010;Total;0;0
